class_id,class_name,split,image_id,annotation_id,file_name,keypoint_index,keypoint_name,source_keypoint_name,x,y,visibility,status
0,Channel,train,726,8688,000726.jpg,4,K4,new-point-3,547.395,250.491,2,visible;inside
0,Channel,train,26,578,000026.jpg,1,K1,new-point-0,241.327,259.716,2,visible;inside
0,Channel,train,26,578,000026.jpg,2,K2,new-point-1,253.177,259.716,2,visible;inside
0,Channel,train,26,578,000026.jpg,3,K3,new-point-2,253.177,291.93,2,visible;inside
0,Channel,train,26,578,000026.jpg,4,K4,new-point-3,241.327,291.93,2,visible;inside
1,T-beam,train,343,6240,000343.jpg,1,K1,new-point-0,480,558.333,2,visible;inside
1,T-beam,train,343,6240,000343.jpg,2,K2,new-point-1,590,540,2,visible;inside
1,T-beam,train,343,6240,000343.jpg,3,K3,new-point-2,364.167,585.833,2,visible;inside
1,T-beam,train,343,6240,000343.jpg,4,K4,new-point-3,467.5,97.5,2,visible;inside
1,T-beam,valid,609,10709,000609.jpg,1,K1,new-point-0,603.333,411.867,2,visible;inside
1,T-beam,valid,609,10709,000609.jpg,2,K2,new-point-1,618.333,546.867,2,visible;inside
1,T-beam,valid,609,10709,000609.jpg,3,K3,new-point-2,585.833,281.867,2,visible;inside
1,T-beam,valid,609,10709,000609.jpg,4,K4,new-point-3,345.833,452.7,2,visible;inside
1,T-beam,test,556,8277,000556.jpg,1,K1,new-point-0,248.907,338.75,2,visible;inside
1,T-beam,test,556,8277,000556.jpg,2,K2,new-point-1,267.378,338.392,2,visible;inside
1,T-beam,test,556,8277,000556.jpg,3,K3,new-point-2,231.333,338.75,2,visible;inside
1,T-beam,test,556,8277,000556.jpg,4,K4,new-point-3,248.01,303.243,2,visible;inside
1,T-beam,train,632,1097,000632.jpg,1,K1,new-point-0,447.5,640,2,visible;inside
1,T-beam,train,632,1097,000632.jpg,2,K2,new-point-1,379.167,622.5,2,visible;inside
1,T-beam,train,632,1097,000632.jpg,3,K3,new-point-2,544.167,650.833,2,visible;out_image+out_bbox
1,T-beam,train,632,1097,000632.jpg,4,K4,new-point-3,518.333,331.667,2,visible;inside
1,T-beam,test,118,7940,000118.jpg,1,K1,new-point-0,99.914,280.006,2,visible;inside
1,T-beam,test,118,7940,000118.jpg,2,K2,new-point-1,74.799,276.365,2,visible;out_bbox
1,T-beam,test,118,7940,000118.jpg,3,K3,new-point-2,126.485,283.283,2,visible;inside
1,T-beam,test,118,7940,000118.jpg,4,K4,new-point-3,103.553,317.149,2,visible;inside
1,T-beam,valid,122,5095,000122.jpg,1,K1,new-point-0,290,316.429,2,visible;inside
1,T-beam,valid,122,5095,000122.jpg,2,K2,new-point-1,201.429,322.857,1,occluded;inside
1,T-beam,valid,122,5095,000122.jpg,3,K3,new-point-2,381.429,311.429,2,visible;inside
1,T-beam,valid,122,5095,000122.jpg,4,K4,new-point-3,262.857,97.857,2,visible;inside
1,T-beam,train,245,4179,000245.jpg,1,K1,new-point-0,565,408.333,2,visible;inside
1,T-beam,train,245,4179,000245.jpg,2,K2,new-point-1,508.333,409.167,2,visible;inside
1,T-beam,train,245,4179,000245.jpg,3,K3,new-point-2,621.667,404.167,2,visible;inside
1,T-beam,train,245,4179,000245.jpg,4,K4,new-point-3,564.167,603.333,2,visible;inside
1,T-beam,train,148,4647,000148.jpg,1,K1,new-point-0,409.375,28.75,2,visible;inside
1,T-beam,train,148,4647,000148.jpg,2,K2,new-point-1,489.89,26.801,2,visible;inside
1,T-beam,train,148,4647,000148.jpg,3,K3,new-point-2,336.36,26.801,2,visible;inside
1,T-beam,train,148,4647,000148.jpg,4,K4,new-point-3,416.25,212.5,2,visible;inside
2,HI-Beam,train,438,259,000438.jpg,1,K1,new-point-0,197.023,175.637,2,visible;inside
2,HI-Beam,train,438,259,000438.jpg,2,K2,new-point-1,206.635,175.52,2,visible;inside
2,HI-Beam,train,438,259,000438.jpg,3,K3,new-point-2,186.897,175.637,2,visible;inside
2,HI-Beam,train,438,259,000438.jpg,4,K4,new-point-3,196.92,207.435,2,visible;inside
2,HI-Beam,train,438,259,000438.jpg,5,K5,new-point-4,206.703,207.493,2,visible;inside
2,HI-Beam,train,438,259,000438.jpg,6,K6,new-point-5,186.863,207.435,2,visible;inside
2,HI-Beam,valid,300,9949,000300.jpg,1,K1,new-point-0,413.787,471.675,2,visible;inside
2,HI-Beam,valid,300,9949,000300.jpg,2,K2,new-point-1,425.707,471.567,2,visible;inside
2,HI-Beam,valid,300,9949,000300.jpg,3,K3,new-point-2,401.758,471.567,2,visible;inside
2,HI-Beam,valid,300,9949,000300.jpg,4,K4,new-point-3,414.175,496.583,2,visible;inside
2,HI-Beam,valid,300,9949,000300.jpg,5,K5,new-point-4,426.416,496.63,2,visible;inside
2,HI-Beam,valid,300,9949,000300.jpg,6,K6,new-point-5,401.591,496.583,2,visible;inside
2,HI-Beam,test,114,813,000114.jpg,1,K1,new-point-0,294.402,191.984,2,visible;inside
2,HI-Beam,test,114,813,000114.jpg,2,K2,new-point-1,294.085,206.572,2,visible;inside
2,HI-Beam,test,114,813,000114.jpg,3,K3,new-point-2,294.561,177.238,2,visible;inside
2,HI-Beam,test,114,813,000114.jpg,4,K4,new-point-3,220.683,188.971,2,visible;inside
2,HI-Beam,test,114,813,000114.jpg,5,K5,new-point-4,220.683,206.255,2,visible;inside
2,HI-Beam,test,114,813,000114.jpg,6,K6,new-point-5,220.842,174.542,2,visible;inside
2,HI-Beam,train,65,2750,000065.jpg,1,K1,new-point-0,483.462,445.362,2,visible;inside
2,HI-Beam,train,65,2750,000065.jpg,2,K2,new-point-1,510.196,446.263,2,visible;out_bbox
2,HI-Beam,train,65,2750,000065.jpg,3,K3,new-point-2,454.926,443.559,2,visible;inside
2,HI-Beam,train,65,2750,000065.jpg,4,K4,new-point-3,479.558,578.188,2,visible;inside
2,HI-Beam,train,65,2750,000065.jpg,5,K5,new-point-4,506.892,579.69,2,visible;inside
2,HI-Beam,train,65,2750,000065.jpg,6,K6,new-point-5,450.421,577.286,2,visible;out_bbox
2,HI-Beam,train,216,11045,000216.jpg,1,K1,new-point-0,207.012,183.811,2,visible;inside
2,HI-Beam,train,216,11045,000216.jpg,2,K2,new-point-1,224.103,183.563,2,visible;inside
2,HI-Beam,train,216,11045,000216.jpg,3,K3,new-point-2,192.026,184.183,2,visible;inside
2,HI-Beam,train,216,11045,000216.jpg,4,K4,new-point-3,206.764,220.238,2,visible;inside
2,HI-Beam,train,216,11045,000216.jpg,5,K5,new-point-4,221.998,219.742,1,occluded;inside
2,HI-Beam,train,216,11045,000216.jpg,6,K6,new-point-5,193.017,220.61,1,occluded;inside
2,HI-Beam,train,707,7018,000707.jpg,1,K1,new-point-0,158.8,469.8,2,visible;inside
2,HI-Beam,train,707,7018,000707.jpg,2,K2,new-point-1,166.8,469.7,2,visible;inside
2,HI-Beam,train,707,7018,000707.jpg,3,K3,new-point-2,150.4,469.9,2,visible;inside
2,HI-Beam,train,707,7018,000707.jpg,4,K4,new-point-3,159.6,487.9,2,visible;inside
2,HI-Beam,train,707,7018,000707.jpg,5,K5,new-point-4,168.4,487.7,2,visible;inside
2,HI-Beam,train,707,7018,000707.jpg,6,K6,new-point-5,151.6,488.1,2,visible;inside
2,HI-Beam,train,259,4969,000259.jpg,1,K1,new-point-0,466.602,584.369,2,visible;inside
2,HI-Beam,train,259,4969,000259.jpg,2,K2,new-point-1,485.947,585.644,2,visible;inside
2,HI-Beam,train,259,4969,000259.jpg,3,K3,new-point-2,448.108,583.094,2,visible;inside
2,HI-Beam,train,259,4969,000259.jpg,4,K4,new-point-3,464.477,648.354,2,visible;inside
2,HI-Beam,train,259,4969,000259.jpg,5,K5,new-point-4,482.546,649.417,2,visible;inside
2,HI-Beam,train,259,4969,000259.jpg,6,K6,new-point-5,442.581,646.866,2,visible;inside
2,HI-Beam,train,438,351,000438.jpg,1,K1,new-point-0,455.268,364.452,2,visible;inside
2,HI-Beam,train,438,351,000438.jpg,2,K2,new-point-1,464.432,364.341,2,visible;inside
2,HI-Beam,train,438,351,000438.jpg,3,K3,new-point-2,445.615,364.452,2,visible;inside
2,HI-Beam,train,438,351,000438.jpg,4,K4,new-point-3,455.17,394.696,2,visible;inside
2,HI-Beam,train,438,351,000438.jpg,5,K5,new-point-4,464.497,394.752,2,visible;inside
2,HI-Beam,train,438,351,000438.jpg,6,K6,new-point-5,445.582,394.696,2,visible;inside
3,Angle Bar,train,92,11174,000092.jpg,1,K1,new-point-0,548.333,414.167,2,visible;inside
3,Angle Bar,train,92,11174,000092.jpg,2,K2,new-point-1,485,517.5,2,visible;inside
3,Angle Bar,train,92,11174,000092.jpg,3,K3,new-point-3,605,517.5,2,visible;inside
3,Angle Bar,valid,579,5797,000579.jpg,1,K1,new-point-0,118.859,306.559,2,visible;inside
3,Angle Bar,valid,579,5797,000579.jpg,2,K2,new-point-1,144.675,285.283,2,visible;inside
3,Angle Bar,valid,579,5797,000579.jpg,3,K3,new-point-3,143.552,328.192,2,visible;inside
3,Angle Bar,test,388,10309,000388.jpg,1,K1,new-point-0,448.66,418.951,2,visible;inside
3,Angle Bar,test,388,10309,000388.jpg,2,K2,new-point-1,367.314,514.445,2,visible;inside
3,Angle Bar,test,388,10309,000388.jpg,3,K3,new-point-3,525.055,531.421,2,visible;inside
3,Angle Bar,train,620,854,000620.jpg,1,K1,new-point-0,158.472,36.284,2,visible;inside
3,Angle Bar,train,620,854,000620.jpg,2,K2,new-point-1,130.788,-4.526,2,visible;out_image+out_bbox
3,Angle Bar,train,620,854,000620.jpg,3,K3,new-point-3,188.312,-3.424,2,visible;out_image+out_bbox
3,Angle Bar,train,687,4637,000687.jpg,1,K1,new-point-0,157.732,201.092,1,occluded;out_bbox
3,Angle Bar,train,687,4637,000687.jpg,2,K2,new-point-1,99.676,281.85,2,visible;inside
3,Angle Bar,train,687,4637,000687.jpg,3,K3,new-point-3,200.207,298.873,2,visible;inside
3,Angle Bar,train,270,9667,000270.jpg,1,K1,new-point-0,379.429,289.997,2,visible;inside
3,Angle Bar,train,270,9667,000270.jpg,2,K2,new-point-1,309.067,261.063,1,occluded;inside
3,Angle Bar,train,270,9667,000270.jpg,3,K3,new-point-3,328.794,341.288,2,visible;inside
3,Angle Bar,train,672,10066,000672.jpg,1,K1,new-point-0,270.126,141.185,2,visible;inside
3,Angle Bar,train,672,10066,000672.jpg,2,K2,new-point-1,302.613,68.784,2,visible;inside
3,Angle Bar,train,672,10066,000672.jpg,3,K3,new-point-3,201.631,113.399,2,visible;inside
3,Angle Bar,train,509,10386,000509.jpg,1,K1,new-point-0,204.906,49.149,2,visible;inside
3,Angle Bar,train,509,10386,000509.jpg,2,K2,new-point-1,147.446,130.461,2,visible;inside
3,Angle Bar,train,509,10386,000509.jpg,3,K3,new-point-3,273.208,122.149,2,visible;inside
4,Sheet Pile,train,516,1982,000516.jpg,1,K1,new-point-0,243.179,542.544,2,visible;inside
4,Sheet Pile,train,516,1982,000516.jpg,2,K2,new-point-1,249.55,502.874,2,visible;inside
4,Sheet Pile,train,516,1982,000516.jpg,3,K3,new-point-2,319.283,501.457,2,visible;inside
4,Sheet Pile,train,516,1982,000516.jpg,4,K4,new-point-3,326.363,539.002,2,visible;inside
4,Sheet Pile,valid,98,444,000098.jpg,1,K1,new-point-0,65.008,473.649,2,visible;inside
4,Sheet Pile,valid,98,444,000098.jpg,2,K2,new-point-1,75.049,437.534,2,visible;inside
4,Sheet Pile,valid,98,444,000098.jpg,3,K3,new-point-2,141.262,436.72,2,visible;inside
4,Sheet Pile,valid,98,444,000098.jpg,4,K4,new-point-3,157.002,473.377,2,visible;inside
4,Sheet Pile,test,530,1515,000530.jpg,1,K1,new-point-0,487.283,529.238,2,visible;inside
4,Sheet Pile,test,530,1515,000530.jpg,2,K2,new-point-1,494.121,493.808,2,visible;inside
4,Sheet Pile,test,530,1515,000530.jpg,3,K3,new-point-2,559.076,494.052,2,visible;inside
4,Sheet Pile,test,530,1515,000530.jpg,4,K4,new-point-3,564.936,529.971,2,visible;inside
4,Sheet Pile,valid,98,471,000098.jpg,1,K1,new-point-0,549.269,433.04,2,visible;inside
4,Sheet Pile,valid,98,471,000098.jpg,2,K2,new-point-1,562.578,398.589,2,visible;inside
4,Sheet Pile,valid,98,471,000098.jpg,3,K3,new-point-2,619.863,399.747,2,visible;inside
4,Sheet Pile,valid,98,471,000098.jpg,4,K4,new-point-3,630.278,434.198,2,visible;inside
4,Sheet Pile,test,530,1521,000530.jpg,1,K1,new-point-0,476.539,404.691,2,visible;inside
4,Sheet Pile,test,530,1521,000530.jpg,2,K2,new-point-1,483.62,364.863,2,visible;inside
4,Sheet Pile,test,530,1521,000530.jpg,3,K3,new-point-2,548.087,364.374,2,visible;inside
4,Sheet Pile,test,530,1521,000530.jpg,4,K4,new-point-3,554.924,401.026,2,visible;inside
4,Sheet Pile,train,516,2023,000516.jpg,1,K1,new-point-0,241.055,318.482,2,visible;inside
4,Sheet Pile,train,516,2023,000516.jpg,2,K2,new-point-1,247.427,277.251,2,visible;inside
4,Sheet Pile,train,516,2023,000516.jpg,3,K3,new-point-2,318.929,277.617,2,visible;inside
4,Sheet Pile,train,516,2023,000516.jpg,4,K4,new-point-3,324.592,316.932,2,visible;inside
4,Sheet Pile,train,516,1979,000516.jpg,1,K1,new-point-0,127.43,543.607,2,visible;inside
4,Sheet Pile,train,516,1979,000516.jpg,2,K2,new-point-1,133.802,503.937,2,visible;inside
4,Sheet Pile,train,516,1979,000516.jpg,3,K3,new-point-2,203.534,502.52,2,visible;inside
4,Sheet Pile,train,516,1979,000516.jpg,4,K4,new-point-3,210.614,540.065,2,visible;inside
4,Sheet Pile,valid,98,463,000098.jpg,1,K1,new-point-0,297.33,472.915,2,visible;inside
4,Sheet Pile,valid,98,463,000098.jpg,2,K2,new-point-1,307.504,438.789,2,visible;inside
4,Sheet Pile,valid,98,463,000098.jpg,3,K3,new-point-2,368.741,439.355,2,visible;inside
4,Sheet Pile,valid,98,463,000098.jpg,4,K4,new-point-3,378.728,473.858,2,visible;inside
