master_id,final_split,fold,file_name,orig_split,orig_image_id,source_group,source_name,md5,sha256,width,height,annotation_count,is_negative,class_names,Channel,T-beam,HI-Beam,Angle Bar,Sheet Pile
27,train,3,000027.jpg,train,462,-2024-04-08-181153_png.jpg,-2024-04-08-181153_png.jpg,0b43a4034af4b7ff4e2ba0c743d5bae1,9e07f4fdab07cbd7295bf51d3ac727604d4eb1c57622f433921e492715072ad9,299,340,10,False,T-beam,0,10,0,0,0
28,train,1,000028.jpg,train,434,-_20240404161141_png,-_20240404161141_png,0b487709eb63f96e027d3f72876b26f7,28a60656b0ac02fea8c6044c415a304b2a5c9f0f0b966f80cba51e619a0ae8f1,640,640,7,False,T-beam,0,7,0,0,0
29,train,3,000029.jpg,train,419,63425d5759c4599a8fe3dca4673630a_png,63425d5759c4599a8fe3dca4673630a_png,0b8c437fdcd928da80ee8034142ba80c,57c7002f729e46d0f240cca50f183c6faacdee91f1cc9b63aa35e210309b56f6,640,640,19,False,T-beam,0,19,0,0,0
30,train,3,000030.jpg,test,42,16c3ab3b-13.jpg,16c3ab3b-13.jpg,0cc964df0fa06ed4a80e33016fa422af,6247c112cb4fdd38d8238896852f3c624fbe1182fe0b4f3261f58ddb72269e9d,416,416,22,False,Angle Bar,0,0,0,22,0
31,train,8,000031.jpg,train,450,-2024-04-09-190611_png_jpg,-2024-04-09-190611_png_jpg,0ce8fa0b78ab46bd39fb1f5ed07a66df,eaf906907c5bf2dbed934927d7f3f71856e6266fd146c5c539f73368a216341c,640,640,6,False,T-beam,0,6,0,0,0
32,train,5,000032.jpg,train,177,5572f326-9f86-4e0f-a21d-e961d61bef86.jpg,5572f326-9f86-4e0f-a21d-e961d61bef86.jpg,0d713f7fa9a81eb38d2ef0f7acbf3e2c,f0a16b91faa6883d65b1676ce9e442598d0765e01c9c0053d11db106b3ffc76c,574,1020,132,False,HI-Beam,0,0,132,0,0
33,train,9,000033.jpg,train,559,-2024-04-08-181132_png_jpg,-2024-04-08-181132_png_jpg,0d974c365ba960bca3c69a30e8eea7e9,13f29f68b3fe474744ebaa5fe0bc24d4fb31b279ff350c6cd826b606c7152539,640,640,10,False,T-beam,0,10,0,0,0
34,train,7,000034.jpg,train,409,-_20240404161141_png_jpg,-_20240404161141_png_jpg,0e2fc7551fa5c4764eed35f5df102a87,568f0ea934ab1f91c9192ae63f7a18a6b31da2121cc382a9e784a6a45786941d,640,640,7,False,T-beam,0,7,0,0,0
35,train,9,000035.jpg,train,395,-2024-04-08-181132_png_jpg,-2024-04-08-181132_png_jpg,0e357834080f16629dc983f0e39fd47e,296f661c9bb78216aa877ed6dbc8d51c230c21106bf7ae0f6b6580edd5e863d2,640,640,10,False,T-beam,0,10,0,0,0
36,train,9,000036.jpg,train,130,c60978eed390eee904ede0407128e00.png,c60978eed390eee904ede0407128e00.png,0e7bbc6e08a2aaf73a7c8ec9ce8d6bd1,f51e86fa38831d00efd6b0763bb6bcb2e8b0a9de63c574b3693e416eed97516f,402,426,10,False,T-beam,0,10,0,0,0
37,train,9,000037.jpg,valid,27,66a8f315-fca0-4e1a-8cb9-b56f2f2f2602.jpg,66a8f315-fca0-4e1a-8cb9-b56f2f2f2602.jpg,0f2a4985ea965d1d1ead4f24eb93d2b9,9de3e35fc48d1f00907b81f2153275943254edf67c8a551a4b886d51dcae7deb,1080,810,0,True,,0,0,0,0,0
38,valid,2,000038.jpg,train,491,Harga-Besi-T-Beam_jpg,Harga-Besi-T-Beam_jpg,0f776b5b522b02e0d3ca81b6e7891d20,4f64de286b1ace2210faab4878207bbc6f6a6a2c52e11d0721a8610a4adb43f2,640,640,10,False,T-beam,0,10,0,0,0
39,train,4,000039.jpg,train,99,-2024-04-08-181153_png_jpg,-2024-04-08-181153_png_jpg,0fa6a6415696ebaedc907758ba8031e7,e7bf02e69e11b22f14e80bc465001d1677c5cb1c4ec4c2fecc2ea4ccfccc18a0,640,640,10,False,T-beam,0,10,0,0,0
40,train,3,000040.jpg,train,590,irii8idx_png_jpg,irii8idx_png_jpg,0fcdbf483e9f0fc33f5620520aee3d68,200cfa620b9ef58f46c47d5b415c94783c7dc43f56f935c854d8c1178692303e,640,640,9,False,T-beam,0,9,0,0,0
41,train,8,000041.jpg,valid,38,923a108f41cc108b080c4fe180deb58_png_jpg,923a108f41cc108b080c4fe180deb58_png_jpg,100d89e77c1dfc61b8424e1f2532fdc8,ae19ca6a4291c6132a65d1c7fb64c5322888660fcf49d70f5047de06e96691ed,640,640,10,False,T-beam,0,10,0,0,0
42,train,9,000042.jpg,train,54,-2024-04-08-181520_png,-2024-04-08-181520_png,104e24662ed70fe1346dfecc9a10f992,1e1d5425c8c13a6dc41af7580b674bcc8cf00cdd132194b5af0afbc14bbe6310,640,640,5,False,T-beam,0,5,0,0,0
43,train,1,000043.jpg,valid,31,c53b2cdbce75a32fd0107fdacfe80da_png,c53b2cdbce75a32fd0107fdacfe80da_png,10a66e497d3fa127ab1006452c99019d,55d78bd574c5aa23168066579e516ef3e353271b12f1fbb37d92f5975b43aac1,640,640,5,False,T-beam,0,5,0,0,0
44,train,0,000044.jpg,train,349,c31a9bf3-eb7b-472d-9e20-24b75b5eddc5.jpg,c31a9bf3-eb7b-472d-9e20-24b75b5eddc5.jpg,113af1af9c16adf53edcfd8b0e7354bc,07cac4aa454abde7f42fad2111272928a1961277165e469e2b81e7fb7032f234,540,960,146,False,Channel,146,0,0,0,0
45,train,9,000045.jpg,train,412,-_20240404161141.png,-_20240404161141.png,114b5dae17b84ea5babab7e99cf8a6ab,23752fed399cffb0b6f54b4cd8ed810d9092b7844e03050eddcd18edbc7d55b5,856,787,7,False,T-beam,0,7,0,0,0
46,train,1,000046.jpg,train,315,-2024-04-08-181746_png_jpg,-2024-04-08-181746_png_jpg,118fa5c1b9a63c0b6caca02a9487d120,f98eac2b8f304edd705a697f537b9b0e7800668e6655a707c7642e269ff43229,640,640,4,False,T-beam,0,4,0,0,0
47,train,5,000047.jpg,valid,41,-2024-04-08-180928_png_jpg,-2024-04-08-180928_png_jpg,11b7b8bdc8536e425b4b43915e61a10f,911ccf65da8e7df74c8bf9be93a02f568be24863c42a9e3051bf60473ad3b075,640,640,10,False,T-beam,0,10,0,0,0
48,train,7,000048.jpg,train,327,22066d1d-aea7-451c-a76b-fa428ce913c8.jpg,22066d1d-aea7-451c-a76b-fa428ce913c8.jpg,11cd99b32efe517e011a4cb14463d513,de680321370fb05eb148fbfab2cff9770337573e9ef551a8f817e5a3c87e2f2a,607,1080,60,False,HI-Beam,0,0,60,0,0
49,valid,2,000049.jpg,train,312,-2024-04-08-181115_png_jpg,-2024-04-08-181115_png_jpg,11d458e0f107ba089ddc4a6cbec4bcdf,d37f2539f7e826d6300120fdb2203d1aaba249dfe2f2e94207aa0b8fbbef7078,640,640,4,False,T-beam,0,4,0,0,0
50,train,8,000050.jpg,train,547,-_20230708190558_png_jpg,-_20230708190558_png_jpg,11e39148c4f9ba41df6311bce6259595,e0b9e9a3ce42e902939d89084aaa5957cf616fa5c5bbe750abc44f143153b13f,640,640,19,False,T-beam,0,19,0,0,0
51,train,3,000051.jpg,train,538,16c3ab3b-13.jpg,16c3ab3b-13.jpg,1268c21fee8933ce9b4038a12d9d7dc5,26f97f4e4210c45ff342535be395da8ed3f9c250e8c73541c556827710287cdb,416,416,22,False,Angle Bar,0,0,0,22,0
52,valid,2,000052.jpg,train,469,-_20230924182512_png.jpg,-_20230924182512_png.jpg,12b521439b311996b3990445fb97c1a1,bd6fe67b0e2d466bd32be0a8eb79bf68b2940eb0c2dea063dc4b8f9bad6bc696,453,288,5,False,T-beam,0,5,0,0,0
53,test,6,000053.jpg,train,59,-2024-04-10-131903.png,-2024-04-10-131903.png,12e20fdfff6f4848472b53dd60d14941,78f87f4e70f8ca3dbf22b5af521e17ae1be4646b474dde9fa6e445d8a0339d69,169,199,12,False,T-beam,0,12,0,0,0
54,train,9,000054.jpg,train,555,-2024-04-08-181549_png_jpg,-2024-04-08-181549_png_jpg,1317124bb1e97387c5049d72eab77b9a,f05913451ce067605db358de2f3147c4667153e27ea85837c69e0eb3b0f55945,640,640,5,False,T-beam,0,5,0,0,0
55,train,1,000055.jpg,train,394,19574211-ae62-485d-aa2e-390a7a0d8d07.jpg,19574211-ae62-485d-aa2e-390a7a0d8d07.jpg,13646ccc86d8e486f5b3d8164516084d,eff4fb3a11e8c25c46d25e0a2504a736a02007c26c8158f4929fc3f225a03c2f,504,1080,86,False,HI-Beam,0,0,86,0,0
56,train,5,000056.jpg,test,20,-_20230708190618_png_jpg,-_20230708190618_png_jpg,13b66ee9f658f05f17ec5461b462b8dd,809dfa669897d1b85b00bbf29e921807b9c8282c8fccc9137647ff0a71864316,640,640,4,False,T-beam,0,4,0,0,0
57,train,5,000057.jpg,train,365,-2024-04-08-181520.png,-2024-04-08-181520.png,13f8f6c51c070ad21836754e244c1cf5,8aeb16ea1718c1175af40049d242685edcfa2f1a82773f3431684fac21e86a24,347,292,5,False,T-beam,0,5,0,0,0
58,train,1,000058.jpg,train,26,-_20230924182503_png_jpg,-_20230924182503_png_jpg,147644b8850803079525d21fa57c5dd0,cee152bebfc58bbb2b8692c0e9d413791a99a4f15461a48cec2454dec42d772e,640,640,5,False,T-beam,0,5,0,0,0
59,valid,2,000059.jpg,train,385,-2024-04-08-181520_png_jpg,-2024-04-08-181520_png_jpg,161d41c2b370c8cbe61443d09e156f02,d2bf295f4180c7b60826a85035fc207e93ea48f83f288c6f021eb6714a93d780,640,640,5,False,T-beam,0,5,0,0,0
60,train,1,000060.jpg,valid,23,-_20230708190603.png,-_20230708190603.png,1653c4f81e0f3942c6d4e027bd048f55,2ac75e80400647fa25019a85b384e6dd9ecf806ba3ea575cf248ffbcd13b31a8,474,258,21,False,T-beam,0,21,0,0,0
61,train,1,000061.jpg,train,364,-2024-04-08-181047_png,-2024-04-08-181047_png,165a682ff760235a11a4f7c54fb8cd53,3beafac56640c5ed4c1adfae1b628c5746e1d80dcb32ee99522323c569f90673,640,640,5,False,T-beam,0,5,0,0,0
62,train,5,000062.jpg,train,260,-2024-04-10-131727_png_jpg,-2024-04-10-131727_png_jpg,1662331e6da8961da4976acb118ddbed,5351d56b3d21567dddef508bc2741ec5642e1bb2a6fb965347473e7409d88be7,640,640,6,False,T-beam,0,6,0,0,0
63,valid,2,000063.jpg,train,310,-2024-04-09-190757_png_jpg,-2024-04-09-190757_png_jpg,1673d66084f874ee33642306f1705686,e1c2b0fc821a65adc9175fb30164345216294219f994dd902b60f8338d6aa9d4,640,640,6,False,T-beam,0,6,0,0,0
64,train,4,000064.jpg,train,235,-2024-04-08-181545.png,-2024-04-08-181545.png,167d657570f893ba56491f65e5041189,1890954b90e66b33f5ffe01fb7563579e2a3ed098c2feb66fe5122dda6ea21c2,308,165,7,False,T-beam,0,7,0,0,0
65,train,0,000065.jpg,train,169,0f986a00-5ce7-4b05-9ba0-8534553d2a51.jpg,0f986a00-5ce7-4b05-9ba0-8534553d2a51.jpg,1681676074e58109db40fe88755cae84,708b5a81eed41d4dae32deb30b0e6a60fb7c582a0ca87b4dde8a66a94ac522fd,963,1280,52,False,HI-Beam,0,0,52,0,0
66,train,3,000066.jpg,train,30,-2024-04-08-181337_png_jpg,-2024-04-08-181337_png_jpg,16fab9c6bcb45e9ace2aed8063626313,155c110f0575ead882a8ca5fa3eaf6ec71bf77c2ccc0b387666cf5b6853fd767,640,640,5,False,T-beam,0,5,0,0,0
67,train,1,000067.jpg,test,72,1670333703-5cdf9b336c4b445e5e7cfce6_jpg,1670333703-5cdf9b336c4b445e5e7cfce6_jpg,178b34f51c6fe62141bb91b1e3624295,4baa10acad449f36f8b98a9418585da30ecb180b593bc246462444f688672573,640,640,10,False,Angle Bar,0,0,0,10,0
68,train,4,000068.jpg,valid,63,-_20230924182512_png_jpg,-_20230924182512_png_jpg,178c6eef6d4c332eef83274c85917d87,1caecf791bac85b2000207d886232acf066e4a9b55b9fecb79de10003c666102,640,640,5,False,T-beam,0,5,0,0,0
69,train,3,000069.jpg,train,340,-2024-04-10-132132_png_jpg,-2024-04-10-132132_png_jpg,17e1e5670d88e99012178f0f2638ecee,08b75652323dd79d3f4728e6d902b8cbcaf3b3046e056dbc839a582ab6b48016,640,640,7,False,T-beam,0,7,0,0,0
70,train,0,000070.jpg,train,140,-2024-04-08-181047_png.jpg,-2024-04-08-181047_png.jpg,184ff8f0f046f9e0d1f2b0d9892ff7ba,5270922bc602f453904fe56017a198f2410133aaa0f54a0549380dc2c6f176c9,465,503,5,False,T-beam,0,5,0,0,0
71,train,4,000071.jpg,train,178,-2024-04-08-180928_png.jpg,-2024-04-08-180928_png.jpg,19aaf6974afd432c9d62dd5299457bac,6b2c5cbe619b779288aed6e6f9bf55d7e93ac16f3d933722482ed0d26fbe8ac2,388,428,10,False,T-beam,0,10,0,0,0
72,train,7,000072.jpg,train,296,9726cfb3c55806a364cf3645086f339_png.jpg,9726cfb3c55806a364cf3645086f339_png.jpg,19edbb444d53f33b442d047a379d12db,3913b7172c06555b53ffd35a2bdd4c3a8c6082af2e2bfff526589f8c99196c7f,753,652,12,False,HI-Beam,0,0,12,0,0
73,train,0,000073.jpg,train,64,-2024-04-08-181435_png_jpg,-2024-04-08-181435_png_jpg,1a57032838dd7e855940bf405871441c,e55e4d08185dfd36276e76282c551713e577cde1366fc05081a8f13e899ca3e2,640,640,5,False,T-beam,0,5,0,0,0
74,train,0,000074.jpg,train,112,-2024-04-09-190630_png_jpg,-2024-04-09-190630_png_jpg,1a65b41fc35b0dc7b61c7429c8cfa01f,a6dc92ffb190085e8e84552573eca3506c130e09b5f622de093c0aa4ce0fd5bb,640,640,5,False,T-beam,0,5,0,0,0
75,train,3,000075.jpg,train,520,5cdadad4-c7de-4861-9742-89a437764a4f.jpg,5cdadad4-c7de-4861-9742-89a437764a4f.jpg,1ae7c946a7e551a42bd24674058c1f05,5dd517d23bdbf5f898872a883db2cfd1a2f186a252a5cf93ee9ece71e3f688b6,607,1080,120,False,HI-Beam,0,0,120,0,0
76,train,9,000076.jpg,train,599,05180fd3-a4e9-4606-b669-980f5c1790a4.jpg,05180fd3-a4e9-4606-b669-980f5c1790a4.jpg,1b3d2bdfd5e468e193458a1b9b32cfae,08115319450fd629c3ca512439d69866203a1da22f40085b6d32306d71b7ce9b,1020,574,315,False,HI-Beam,0,0,315,0,0
77,train,4,000077.jpg,test,40,-2024-04-09-190700_png_jpg,-2024-04-09-190700_png_jpg,1c0c9ee642f5145379f36ee2679aaeb4,93c8fd2e8a60555fbd3c7e020180947432efb7db273850f2811ffa2c081efde2,640,640,5,False,T-beam,0,5,0,0,0
78,train,1,000078.jpg,train,480,steelbeam74.jpg,steelbeam74.jpg,1c0eb56c3c7c78bebac284e3f68e03cc,142e7ca77646e5a9a674bae0c6d400ea0cd2758b5af437b58cbfef6a9a612231,500,890,3,False,HI-Beam,0,0,3,0,0
79,train,5,000079.jpg,train,456,-2024-04-08-175906_png.jpg,-2024-04-08-175906_png.jpg,1c5eabcefc14064fed3789dbc5893c50,6b2b812fac41f6a2978516b276b3a937cc61a0707895641246a46b576e052c72,212,256,2,False,HI-Beam,0,0,2,0,0
80,train,1,000080.jpg,train,119,-2024-04-08-180955_png.jpg,-2024-04-08-180955_png.jpg,1c813f9ea5cc742b4bf6ed21196ced8a,4336394fd7208f97e0be7aebd3dddc6c263b0610ea45a07cf11c9ffe90d77379,391,447,10,False,T-beam,0,10,0,0,0
81,valid,2,000081.jpg,train,396,-2024-04-08-181226_png.jpg,-2024-04-08-181226_png.jpg,1ca9d4ca452d6470aaff517af070f238,6d9f61810000dcdb92dc55c272d5b2ca8560eb50912e1a811124e30e30950f88,259,314,10,False,T-beam,0,10,0,0,0
82,train,0,000082.jpg,train,209,og.jpg,og.jpg,1cb5e393a5c64d14cf9f2ac0ed1d28b2,239e9544765909b059de4ecf25acd0e100ab3756b5a096f7da6e4cce73c40c2d,416,416,88,False,Angle Bar,0,0,0,88,0
83,valid,2,000083.jpg,train,35,-2024-04-08-181520_png_jpg,-2024-04-08-181520_png_jpg,1d00bceeac02683cec8c4c5c0da39f91,67782b6ab3416f1c518928a4a014d7637e9ae4aa7d1264546cb62a665cb5ef4a,640,640,5,False,T-beam,0,5,0,0,0
84,train,9,000084.jpg,train,453,103f559751e75f575b7101078f8b0fa_png_jpg,103f559751e75f575b7101078f8b0fa_png_jpg,1d7aed1bd48cc32ca6d5da4e9f826f91,8c0e4beaf22403763d091baee16c5641126c2ec637729fbc9b36b6bdc31a040d,640,640,20,False,T-beam,0,20,0,0,0
85,train,0,000085.jpg,train,68,irii8idx.png,irii8idx.png,1e1aba3ed50a140f1265f2249c507a6f,a868d9e5ee9d64510606805693026d755f2b64c5253f708337aad840ef12f1e6,136,129,9,False,T-beam,0,9,0,0,0
86,train,5,000086.jpg,train,173,-2024-04-08-175704_png.jpg,-2024-04-08-175704_png.jpg,1e4e23c16e1d6d17f1207c294953112a,4be4b2086c75fd64202fda06aa8ada27c7c4e82f5a93ec112e60be03981593bf,414,371,3,False,HI-Beam,0,0,3,0,0
87,train,8,000087.jpg,valid,64,-2024-04-08-181724_png_jpg,-2024-04-08-181724_png_jpg,1e9fb56bbe95b8e176377905975a5bc5,d3c6334e8d3b10fb221f6d9f2b489b5b345b558dc2372ccb158a584d9416f7f6,640,640,4,False,T-beam,0,4,0,0,0
88,train,5,000088.jpg,train,74,steelbeam134.jpg,steelbeam134.jpg,1ed790d01762415d4dc3e55a86761c84,daaaabb18b94907f2f8efd5956b6d49afd87bb31def5dd87f46de287d335cda7,751,500,35,False,HI-Beam,0,0,35,0,0
89,train,3,000089.jpg,train,562,94f76c37-4bb3-4a2d-bdba-4ac1cd4c86cf.jpg,94f76c37-4bb3-4a2d-bdba-4ac1cd4c86cf.jpg,1eff46c04af1fb98a8cc1c4a3cbf89fc,1ba67e6f1f0b685a538e71a65adc6f289d74cb01a5a8da706216e60c89a0de72,1080,810,21,False,HI-Beam,0,0,21,0,0
90,train,4,000090.jpg,train,405,e327edd1-7.jpg,e327edd1-7.jpg,1f25cd2fb28c8b7906267b3197e7d360,220f9e3d29d688764280fe22f9da24cbf6d1c8c63f38d38771be026bbef7560b,416,416,29,False,Angle Bar,0,0,0,29,0
91,train,7,000091.jpg,train,404,-2024-04-10-133445_png_jpg,-2024-04-10-133445_png_jpg,1f3c744945563b6a64de1f167a23529d,e0dbc2132f8a1c91f1c9eb5709e45dce17ac0e9309f0e20e46dc82a85989e41e,640,640,6,False,T-beam,0,6,0,0,0
92,train,7,000092.jpg,train,577,d5f3ab32-26_jpg,d5f3ab32-26_jpg,20b3f97d9616d2974ba0762345a8f56b,cf57ec0455bc68dd447fa7ffe3deacfbf86c36ab3d65a5ae0e8a5832246a68e1,640,640,33,False,Angle Bar,0,0,0,33,0
93,train,9,000093.jpg,train,185,-2024-04-08-181115_png.jpg,-2024-04-08-181115_png.jpg,20c42a667fd98ba5deb8b8fe876cabc7,81f5c3f46f1976c4003cb9c8be066c6614bc851cd7bd35a80b98f7c720646ca8,347,210,3,False,T-beam,0,3,0,0,0
94,train,4,000094.jpg,train,369,417_original_png_jpg,417_original_png_jpg,210a6dd36d8b9e43a7c6b096857c48e1,343bee54fe7c12db90bf4ba49e629fb112f105bd1be086f4c91a8787fd7ed5ef,640,640,5,False,Angle Bar,0,0,0,5,0
95,train,8,000095.jpg,test,15,d573a1a8ebd9fed84355b19c820fd55_png,d573a1a8ebd9fed84355b19c820fd55_png,21394de1fe57e2d402160a1aa179635c,9da595999acb82f36edb0645ed6907dc2617871d14a192e703881a6579ae8303,640,640,21,False,T-beam,0,21,0,0,0
96,train,4,000096.jpg,train,561,-2024-04-08-181302_png_jpg,-2024-04-08-181302_png_jpg,213df57ab5d8fe4257a23daaaa67267c,84cbfe37360f518bf2b2d19f6b42f1134869134d7dd127fc1182fbf303a52a5b,640,640,4,False,T-beam,0,4,0,0,0
97,train,5,000097.jpg,train,277,29f1f335-5da4-4a9b-b638-88294f28e2f8.jpg,29f1f335-5da4-4a9b-b638-88294f28e2f8.jpg,2149749bd8b519445b517caec096b940,cbd82caf972fb97457af8604ff90c34105816233af3ccbaa9c19d6a8321d54fe,574,1020,46,False,HI-Beam,0,0,46,0,0
